NEK2,TTK,0.690319756
CDC2,TTK,0.756914595
CDC2,NEK2,0.759633355
GRK5,SPTAN1,0.770086133
GRK5,PRKCH,0.777296579
RRAS,SPTAN1,0.809341703
GRK5,RRAS,0.810456155
GRK5,FGF2,0.83004011
PRKCH,SPTAN1,0.848080035
MAP2K7,DMPK,0.859006423
CDC2,PARP1,0.874233084
NEK2,PARP1,0.877388568
PRKCH,FGF2,0.883591076
PRKCH,RRAS,0.886736934
PRPF4B,CAPN7,0.88969039
NEK2,PLK1,0.890111127
GRK5,PDGFB,0.891157848
PRKCE,FGF16,0.891178637
CDC2,PLK1,0.89364819
GRK5,IRAK1,0.902345597
CDK6,IL3,0.905692665
NEK2,RRAS,0.908104233
FGF2,SPTAN1,0.909016777
DAPK1,GRK5,0.909674858
PRKCH,SGK1,0.909693456
MAP3K8,IL6,0.910862291
CDC2,RRAS,0.91155467
CDK5,IRAK1,0.9117892
CDC2,NRAS,0.911798468
GRK5,PARP1,0.912847207
IL3,IL4,0.913901968
CDC2,CYCS,0.91638187
RRAS,PARP1,0.917453249
PLK1,TTK,0.917485199
FGF2,RRAS,0.92045753
CDC2,GRK5,0.922163163
NEK2,CYCS,0.922859841
PDGFB,SPTAN1,0.923016917
TTK,PARP1,0.923749323
CSNK1D,IRAK1,0.924022267
PDGFB,RRAS,0.924029573
NEK2,NRAS,0.924731164
PAK2,NRAS,0.925105026
CAPN3,SPTAN1,0.925298142
GRK5,NEK2,0.926014834
BRAF,IFNB1,0.926749908
CDC2,SPTAN1,0.927024948
CDC2,PAK1,0.928680603
GRK5,SGK1,0.928859042
CSNK1D,GRK5,0.930072292
FGF23,FGF16,0.930083881
NEK2,SPTAN1,0.93092159
TTK,NRAS,0.931756122
FGF21,FGF16,0.932365254
DAPK1,SPTAN1,0.933799631
PLK1,SPTAN1,0.934408514
NEK2,DIABLO,0.935409383
CDC2,IRAK1,0.935898068
GRK5,PLK1,0.935913097
TTK,RRAS,0.935964554
NEK2,PRKCH,0.937271
IRAK1,PARP1,0.937591769
NRAS,CYCS,0.937869352
IRAK1,PRKCQ,0.93798862
GRK5,CAPN3,0.938406729
IRAK1,FGF2,0.938953097
MAPK8,IL13,0.939008961
PRKCE,FGF21,0.94052988
PLK1,PRKCH,0.941085856
IRAK1,RRAS,0.941316997
CDC2,DIABLO,0.941358521
FGF6,IL13,0.941399476
MAP3K8,SGK1,0.94142349
CDC2,PRKCH,0.94146097
PAK7,FGF6,0.941705456
IRAK1,NEK2,0.941972516
IL3,IFNB1,0.942326571
FGF17,IL4,0.942967786
PARP1,SPTAN1,0.943089497
GRK5,PAK1,0.943224987
TTK,CYCS,0.943911722
GRK5,CYCS,0.943957799
GRK5,TTK,0.944265038
IRAK1,SPTAN1,0.944451891
IL4,IFNB1,0.944837489
DAPK1,PRKCH,0.945945463
CDC2,FGF2,0.946016929
CDK6,IFNB1,0.946026207
RRAS,CYCS,0.947581343
NEK2,PAK2,0.94777055
FGF23,IL10,0.947965424
MAPK1,RRAS2,0.948184571
PAK7,IL3,0.94940901
PRKCH,PDGFB,0.949490602
PAK7,IL13,0.949901698
MAPK1,PRPF4B,0.950314349
CSNK1D,PARP1,0.950559801
NEK2,FGF2,0.950593657
CDK6,IL4,0.951015484
CDC2,MAPK6,0.951030338
NEK2,PAK1,0.951477985
CYCS,PARP1,0.952003252
CDC2,CAPN3,0.952322369
TTK,SPTAN1,0.952572732
FGF2,PARP1,0.952932913
CDK2,NEK2,0.953208204
MAPK6,NEK2,0.953244721
PAK2,TTK,0.953672169
TTK,DIABLO,0.954173485
IL2,IL3,0.95579117
PRKCE,IL13,0.955927915
CDC2,PAK2,0.955937409
PLK1,RRAS,0.956082797
RRAS,CAPN3,0.956148031
CDC2,CASP3,0.95684216
CDK2,TTK,0.957146461
PRKCE,FGF6,0.957395618
CYCS,SPTAN1,0.957518347
CSNK1D,FGF2,0.957518566
IL2,IFNB1,0.957678111
PAK7,FGF16,0.958158733
CDK5,GRK5,0.958245671
PRKCH,TTK,0.958370995
FGF16,IL3,0.958454693
FGF6,FGF16,0.958509188
MAPK6,TTK,0.958542779
NEK2,CAPN3,0.958709362
PAK1,SPTAN1,0.958850254
DAPK1,RRAS,0.959129587
FGF17,IL13,0.959362756
IRAK1,PRKCH,0.959545839
CSNK1D,NEK2,0.959790323
CDC2,CSNK1D,0.960149679
