Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04115:p53 signaling pathway	62	98.4126984126984	2.534075657865813E-141	STEAP3, ZMAT3, RPRM, PMAIP1, PTEN, GTSE1, CCNE2, CCNE1, CASP3, TP53I3, CDKN2A, CASP9, CASP8, SERPINE1, FAS, CYCS, TP53, CDK6, CDK4, CDK2, RFWD2, PPM1D, CCND1, CCND3, SERPINB5, CCND2, RRM2, CD82, GADD45G, DDB2, MDM2, SIAH1, MDM4, GADD45B, GADD45A, BID, CHEK1, RRM2B, CHEK2, SFN, CCNG1, SESN2, CCNG2, SESN1, SESN3, RCHY1, THBS1, IGF1, ATR, TP73, ATM, CCNB1, CCNB3, CDKN1A, EI24, CCNB2, BBC3, BAX, TSC2, APAF1, PERP, IGFBP3	63	67	6910	101.49727552712628	2.6861201973377617E-139	2.6861201973377617E-139	2.843491240576953E-138
GAD_DISEASE	esophageal adenocarcinoma	28	44.44444444444444	1.1364851417930601E-27	BID, CHEK1, CHEK2, PTEN, CCNE1, TP53I3, CASP3, CDKN2A, CASP9, CASP8, FAS, THBS1, TP53, IGF1, CDK6, ATR, CDK4, ATM, CCNB1, CDKN1A, CCND1, CCND3, BAX, TSC2, MDM2, APAF1, PERP, IGFBP3	58	351	12971	17.840062874545634	1.3092308833456052E-24	1.3092308833456052E-24	1.8279849134590235E-24
KEGG_PATHWAY	hsa04110:Cell cycle	23	36.507936507936506	1.0387914756511666E-23	TP53, CHEK1, CDK6, SFN, ATR, CHEK2, CDK4, CDK2, ATM, CCNE2, CCNB1, CCNE1, CCNB3, CCND1, CDKN1A, CCNB2, CDKN2A, CCND3, CCND2, GADD45G, MDM2, GADD45B, GADD45A	63	124	6910	20.344342037890424	1.1011189641902366E-21	5.505594820951183E-22	1.1656299418809664E-20
GAD_DISEASE	ovarian cancer	24	38.095238095238095	3.1549855812055536E-21	TP53, IGF1, CDK6, CHEK2, CCNG1, CDK4, CCNG2, PTEN, CDK2, CCNE2, CCNB1, CCNE1, CCND1, CDKN1A, CCNB2, CDKN2A, CCND3, CCND2, CASP8, SERPINE1, MDM2, FAS, MDM4, IGFBP3	58	370	12971	14.506244175209693	3.634543389548798E-18	1.817271694774399E-18	5.074651513283619E-18
UP_KEYWORDS	Apoptosis	24	38.095238095238095	5.0801540419134224E-21	BID, STEAP3, ZMAT3, CYCS, TP53, CHEK2, PMAIP1, PTEN, TP73, EI24, CASP3, TNFRSF10B, CDKN2A, CASP9, BBC3, BAX, GADD45G, CASP8, SIAH1, FAS, APAF1, PERP, GADD45B, IGFBP3	63	536	20581	14.627576403695807	6.096184850296107E-19	6.096184850296107E-19	5.8316726419110285E-18
UP_KEYWORDS	Cyclin	12	19.047619047619047	1.5593557875157272E-19	CCNB1, CCNE2, CCNE1, CCNB3, CCND1, CDKN2A, CCNB2, CCND3, CCND2, CCNG1, CDK4, CCNG2	63	40	20581	98.00476190476189	1.8712269450188725E-17	9.356134725094363E-18	1.7900347922591733E-16
GAD_DISEASE	breast cancer   	25	39.682539682539684	3.3490757898438064E-19	BID, TP53, IGF1, CHEK1, CDK6, CHEK2, ATR, CDK4, PTEN, TP73, CDK2, ATM, CCNE1, CCND1, CDKN1A, TNFRSF10B, CDKN2A, CCND3, CCND2, CASP8, MDM2, FAS, MDM4, IGFBP3, GADD45A	58	518	12971	10.793336439888163	3.858135309900065E-16	1.2860451033000217E-16	5.386836829389972E-16
UP_KEYWORDS	Cell cycle	24	38.095238095238095	3.735063366058803E-19	STEAP3, TP53, CHEK1, CDK6, CHEK2, CCNG1, CDK4, CCNG2, CDK2, ATM, TP73, CCNE2, CCNB1, CCNE1, PPM1D, CCNB3, CCND1, CDKN1A, CCNB2, CDKN2A, CCND3, CCND2, SIAH1, GADD45A	63	650	20581	12.062124542124542	4.482076039270564E-17	1.4940253464235214E-17	4.2875996806280403E-16
GAD_DISEASE	epithelial ovarian cancer 	18	28.57142857142857	3.80802946098265E-19	TP53, IGF1, CHEK1, ATR, CHEK2, PTEN, ATM, CCNE1, TP53I3, CDKN1A, CCND1, CDKN2A, GADD45G, DDB2, MDM2, GADD45B, IGFBP3, GADD45A	58	170	12971	23.679310344827588	4.386849939052013E-16	1.0967124847630032E-16	6.125043037255384E-16
GAD_DISEASE	Brain Neoplasms|Glioma|meningioma|Neuroma, Acoustic|Neuromas, Acoustic	9	14.285714285714285	3.721445261061286E-18	CDKN1A, CCND1, CDKN2A, CASP8, TP53, MDM2, CHEK1, CHEK2, PTEN	58	10	12971	201.2741379310345	4.287104940742601E-15	8.574209881485202E-16	5.9857762704673384E-15
