Net_349	Net_349	Net_349
SLC38A2	CALM1	0.969104731123027
SLC38A2	TIMP3	0.992372138619858
SLC38A2	FGFR1	0.998947715498052
SLC38A2	SERPINH1	0.999707248528119
SLC38A2	CDKN1C	0.996312569694734
SLC38A2	CAB39	0.994217348717091
SLC38A2	ALPL	0.999944780762702
SLC38A2	HMGCS1	0.999938222820283
SLC38A2	MGP	0.997246000620313
SLC38A2	VEGFA	0.999912399050815
SLC38A2	PLAU	0.999258649731699
SLC38A2	PLAT	0.999994460091989
SLC38A2	CTSL2	0.999776692803434
SLC38A2	ADAMTS5	0.999731168328283
SLC38A2	ADAMTS1	0.959125525375503
SLC38A2	MMP9	0.999601311754999
SLC38A2	MEF2C	0.996840947761928
SLC38A2	NKX3-2	0.994488375918339
SLC38A2	HDAC4	0.996560068355165
SLC38A2	RUNX3	0.999625980956445
SLC38A2	SOX5	0.999848823406054
SLC38A2	CHST11	0.999995429899745
SLC38A2	MMP13	0.999829546368145
SLC38A2	DDR2	0.999085239778865
SLC38A2	ACAN	0.999780406161103
SLC38A2	COL2A1	0.999696076174344
SLC38A2	FGF2	0.99263045693837
SLC38A2	STAT1	0.999778827165961
SLC38A2	FGF18	0.999460925780602
SLC38A2	FGFR3	0.999781623194351
SLC38A2	FRZB	0.999724545000413
SLC38A2	TGFB2	0.998941871775217
SLC38A2	TGFB1	0.999988694923182
SLC38A2	BMPR1A	0.978057578843488
SLC38A2	SPP1	0.99426038738952
SLC38A2	COL10A1	0.999251451889816
SLC38A2	BMP7	0.996554353758536
SLC38A2	BMP6	0.998726874830961
SLC38A2	PTH	0.999997044413877
SLC38A2	RUNX2	0.996095467206876
SLC38A2	SOX9	0.999987805682539
SLC38A2	PRKACA	0.999966333155855
SLC38A2	PTHR1	0.999078274655739
SLC38A2	GLI3	0.999928038421618
SLC38A2	PTCH1	0.995214311610393
SLC38A2	PTHLH	0.999984740579683
SLC38A2	IHH	0.999689018679559
SLC38A2	IGF2	0.999990860498475
SLC38A2	AKT1	0.999964104762567
SLC38A2	STAT5B	0.995438504159714
SLC38A2	GHR	0.992170229003442
SLC38A2	IGF1R	0.999999028419109
SLC38A2	THRA	0.999907143047931
SLC38A2	IGF1	0.999967635023374
SLC38A2	GH1	0.999403114178637
SLC38A2	ENPP1	0.99984784450361
SLC38A2	CST5	0.998754283762575
SLC38A2	KIF3A	0.999850425559999
SLC38A2	IFT88	0.998321487202231
SLC38A2	SCIN	0.998922052506468
CALM1	TIMP3	0.935650260981947
CALM1	FGFR1	0.988349765793232
CALM1	SERPINH1	0.990918101423102
CALM1	CDKN1C	0.955708992724147
CALM1	CAB39	0.965647097664617
CALM1	ALPL	0.999253719924091
CALM1	HMGCS1	0.998524993082249
CALM1	MGP	0.976348958944927
CALM1	VEGFA	0.998366465227414
CALM1	PLAU	0.990044522105456
CALM1	PLAT	0.999907320438127
CALM1	CTSL2	0.995880581806728
CALM1	ADAMTS5	0.999834044844992
CALM1	ADAMTS1	0.944147004912182
CALM1	MMP9	0.988675814754027
CALM1	MEF2C	0.967626857029093
CALM1	NKX3-2	0.983806803027795
CALM1	HDAC4	0.957636157199147
CALM1	RUNX3	0.993990882443452
CALM1	SOX5	0.999590792714327
CALM1	CHST11	0.999752041164648
