Net_23	Net_23	Net_23
ALDH5A1	ABAT	0.983630121309858
ALDH5A1	GLUD1	0.931870281171441
ALDH5A1	GLUD2	0.917159950233598
ALDH5A1	GOT1	0.957784469321203
ALDH5A1	GOT2	0.949310969836374
ALDH5A1	GPT	0.985149765541465
ALDH5A1	GSS	0.896613978710079
ALDH5A1	GCLC	0.951572778618999
ALDH5A1	GCLM	0.972656244499944
ALDH5A1	EPRS	0.974640048450089
ALDH5A1	GAD1	0.966056908366293
ALDH5A1	GAD2	0.849121074569893
ALDH5A1	GLUL	0.860645242027051
ALDH5A1	GFPT1	0.939028233832053
ALDH5A1	GFPT2	0.977061775272064
ALDH5A1	PPAT	0.967434788531306
ALDH5A1	NADSYN1	0.858476169205939
ALDH5A1	GMPS	0.9724841795244
ALDH5A1	GLS2	0.970956019309644
ALDH5A1	GLS	0.990013186015088
ALDH5A1	ALDH4A1	0.964416252731805
ALDH5A1	CPS1	0.984032488856878
ALDH5A1	NAGK	0.886562208396424
ALDH5A1	GSR	0.970331534215726
ALDH5A1	QARS	0.84445275690375
ABAT	GLUD1	0.981834168716219
ABAT	GLUD2	0.979216147873388
ABAT	GOT1	0.951461533292578
ABAT	GOT2	0.930868792826637
ABAT	GPT	0.993507995502129
ABAT	GSS	0.947211465925793
ABAT	GCLC	0.893086633046131
ABAT	GCLM	0.908929314906096
ABAT	EPRS	0.931684888346764
ABAT	GAD1	0.946475264783034
ABAT	GAD2	0.990505697579497
ABAT	GLUL	0.981693386119607
ABAT	GFPT1	0.893640711465798
ABAT	GFPT2	0.969865639489564
ABAT	PPAT	0.898079078482158
ABAT	NADSYN1	0.983344562808662
ABAT	GMPS	0.887839493712667
ABAT	GLS2	0.976769461082828
ABAT	GLS	0.924932315841023
ABAT	ALDH4A1	0.986989305303778
ABAT	CPS1	0.973347575362416
ABAT	NAGK	0.983191061439312
ABAT	GSR	0.904180083971141
ABAT	QARS	0.963541508037043
GLUD1	GLUD2	0.579102862639851
GLUD1	GOT1	0.979052057947433
GLUD1	GOT2	0.97255718642588
GLUD1	GPT	0.979964815373873
GLUD1	GSS	0.963073699528333
GLUD1	GCLC	0.957149025959029
GLUD1	GCLM	0.963245321986916
GLUD1	EPRS	0.918324944480468
GLUD1	GAD1	0.980638293731872
GLUD1	GAD2	0.977704433326721
GLUD1	GLUL	0.910772316719357
GLUD1	GFPT1	0.952323117611976
GLUD1	GFPT2	0.952330162798138
GLUD1	PPAT	0.947835500224453
GLUD1	NADSYN1	0.971903061716803
GLUD1	GMPS	0.947474075778488
GLUD1	GLS2	0.891810917074671
GLUD1	GLS	0.959390542767263
GLUD1	ALDH4A1	0.976916509422891
GLUD1	CPS1	0.989638796423603
GLUD1	NAGK	0.981566947465417
GLUD1	GSR	0.962813498197186
GLUD1	QARS	0.941063272014214
GLUD2	GOT1	0.972805099741322
GLUD2	GOT2	0.973546953664886
GLUD2	GPT	0.983898074342487
GLUD2	GSS	0.963807015521086
GLUD2	GCLC	0.954723793495909
GLUD2	GCLM	0.957216205769378
GLUD2	EPRS	0.937874656194847
GLUD2	GAD1	0.981121563026645
GLUD2	GAD2	0.970017715384173
GLUD2	GLUL	0.893166982710055
GLUD2	GFPT1	0.956878392066677
GLUD2	GFPT2	0.952481477781988
GLUD2	PPAT	0.959823961157108
GLUD2	NADSYN1	0.963994232282263
GLUD2	GMPS	0.961115541730327
GLUD2	GLS2	0.900095699945869
GLUD2	GLS	0.970879055814588
GLUD2	ALDH4A1	0.982035692790182
GLUD2	CPS1	0.987839586666157
GLUD2	NAGK	0.975152103597397
GLUD2	GSR	0.960150124453708
GLUD2	QARS	0.931804944624638
GOT1	GOT2	0.778331514070842
GOT1	GPT	0.970753868063152
GOT1	GSS	0.855658530166546
GOT1	GCLC	0.756642500661557
GOT1	GCLM	0.792738961627147
GOT1	EPRS	0.862310313338591
GOT1	GAD1	0.87535773110854
GOT1	GAD2	0.975866245874782
GOT1	GLUL	0.972402258842297
GOT1	GFPT1	0.69952075536619
GOT1	GFPT2	0.962381450988669
GOT1	PPAT	0.813636403434384
GOT1	NADSYN1	0.975467120242295
GOT1	GMPS	0.839939784208468
GOT1	GLS2	0.975869472679075
GOT1	GLS	0.900887431998288
GOT1	ALDH4A1	0.962222592490257
GOT1	CPS1	0.830634273268994
GOT1	NAGK	0.964055357799386
GOT1	GSR	0.795291311812883
GOT1	QARS	0.969264371795261
GOT2	GPT	0.9688373053154
GOT2	GSS	0.816969432625394
GOT2	GCLC	0.750897265928952
GOT2	GCLM	0.79260136731794
GOT2	EPRS	0.811166264766194
GOT2	GAD1	0.793106638547335
GOT2	GAD2	0.969060846735524
GOT2	GLUL	0.976857948787079
GOT2	GFPT1	0.697060688282163
GOT2	GFPT2	0.965570472009918
GOT2	PPAT	0.777516453515155
GOT2	NADSYN1	0.9493184810068
GOT2	GMPS	0.788203847904553
GOT2	GLS2	0.959102329902566
GOT2	GLS	0.872981937883048
GOT2	ALDH4A1	0.935927995103588
GOT2	CPS1	0.878030652722304
GOT2	NAGK	0.953769956202177
GOT2	GSR	0.785095319241656
GOT2	QARS	0.944738134675648
GPT	GSS	0.954170190814212
GPT	GCLC	0.968253709349959
GPT	GCLM	0.974136176242974
GPT	EPRS	0.974972850996698
GPT	GAD1	0.982693035373662
GPT	GAD2	0.993674041071891
