Net_309	Net_309	Net_309
ITGB3	ITGAV	0.999998244253266
ITGB3	PDGFRA	0.999999982641056
ITGB3	PDGFRB	0.999998214519747
ITGB3	PDGFB	0.999999962624814
ITGB3	CDH6	0.999999963667943
ITGB3	CD6	0.999999806610209
ITGB3	SLC17A2	0.999999995491495
ITGB3	COL1A1	0.999999969269547
ITGB3	PTH	0.999999945787236
ITGB3	PTHR1	0.999999995535771
ITGB3	IBSP	0.999999985956536
ITGB3	TNFSF11	0.999999999649572
ITGB3	TNFRSF11B	0.999999998541739
ITGB3	FGF23	0.999999979469488
ITGB3	GLI1	0.999999998434137
ITGAV	PDGFRA	0.99999812537628
ITGAV	PDGFRB	0.999992903766339
ITGAV	PDGFB	0.999580593145971
ITGAV	CDH6	0.999998413705605
ITGAV	CD6	0.999973373248913
ITGAV	SLC17A2	0.999987229923184
ITGAV	COL1A1	0.982520930515377
ITGAV	PTH	0.999999942520647
ITGAV	PTHR1	0.999684563657928
ITGAV	IBSP	0.999979856442102
ITGAV	TNFSF11	0.999922553396598
ITGAV	TNFRSF11B	0.999982262637481
ITGAV	FGF23	0.999856267713793
ITGAV	GLI1	0.999995059499513
PDGFRA	PDGFRB	0.990926810190837
PDGFRA	PDGFB	0.999315646320224
PDGFRA	CDH6	0.999999418166914
PDGFRA	CD6	0.999786158094298
PDGFRA	SLC17A2	0.999984655274332
PDGFRA	COL1A1	0.999998529935256
PDGFRA	PTH	0.99999996561737
PDGFRA	PTHR1	0.999843023517195
PDGFRA	IBSP	0.999963327388305
PDGFRA	TNFSF11	0.999999990309824
PDGFRA	TNFRSF11B	0.999992433827405
PDGFRA	FGF23	0.999985838968334
PDGFRA	GLI1	0.999989218197578
PDGFRB	PDGFB	0.982770475256989
PDGFRB	CDH6	0.999981089288456
PDGFRB	CD6	0.999987467029608
PDGFRB	SLC17A2	0.999995388623938
PDGFRB	COL1A1	0.999957308394792
PDGFRB	PTH	0.999999975562572
PDGFRB	PTHR1	0.998026635906795
PDGFRB	IBSP	0.999999142294918
PDGFRB	TNFSF11	0.999999870199865
PDGFRB	TNFRSF11B	0.999999922219244
PDGFRB	FGF23	0.999999327363331
PDGFRB	GLI1	0.999999719608835
PDGFB	CDH6	0.998917185658677
PDGFB	CD6	0.999999683185116
PDGFB	SLC17A2	0.999999890636706
PDGFB	COL1A1	0.997663670251159
PDGFB	PTH	0.999999995721174
PDGFB	PTHR1	0.992125774020936
PDGFB	IBSP	0.999999949578061
PDGFB	TNFSF11	0.999992232064952
PDGFB	TNFRSF11B	0.999999987083851
PDGFB	FGF23	0.999999898862514
PDGFB	GLI1	0.999998555811228
CDH6	CD6	0.999996820481517
CDH6	SLC17A2	0.999978629931026
CDH6	COL1A1	0.999990583460635
CDH6	PTH	0.999998203289548
CDH6	PTHR1	0.999950656592111
CDH6	IBSP	0.999994800639903
CDH6	TNFSF11	0.999999749671855
CDH6	TNFRSF11B	0.999999999910544
CDH6	FGF23	0.999992676770622
CDH6	GLI1	0.999996674682608
CD6	SLC17A2	0.982090196224616
CD6	COL1A1	0.99999962320095
CD6	PTH	0.999845297608182
CD6	PTHR1	0.999999872010958
CD6	IBSP	0.940894647318082
CD6	TNFSF11	0.999999938129868
CD6	TNFRSF11B	0.999999822004945
CD6	FGF23	0.943723811848648
CD6	GLI1	0.991731162553214
SLC17A2	COL1A1	0.999999789473168
SLC17A2	PTH	0.999822528629282
SLC17A2	PTHR1	0.999999976143481
SLC17A2	IBSP	0.995686152199495
SLC17A2	TNFSF11	0.999999990978735
SLC17A2	TNFRSF11B	0.999997855534725
SLC17A2	FGF23	0.991542922006086
SLC17A2	GLI1	0.999011266609233
COL1A1	PTH	0.999999923841239
COL1A1	PTHR1	0.998651479969527
COL1A1	IBSP	0.999998748824296
COL1A1	TNFSF11	0.999879283526181
COL1A1	TNFRSF11B	0.999999079849853
COL1A1	FGF23	0.999997501218109
COL1A1	GLI1	0.999999461006538
PTH	PTHR1	0.999999781722407
PTH	IBSP	0.999970527419526
PTH	TNFSF11	0.999999999860824
PTH	TNFRSF11B	0.999999999370652
PTH	FGF23	0.999885549117286
PTH	GLI1	0.999964890536213
PTHR1	IBSP	0.999999975824561
PTHR1	TNFSF11	0.999999759169524
PTHR1	TNFRSF11B	0.999999937761623
PTHR1	FGF23	0.999998686177739
PTHR1	GLI1	0.999999984098647
IBSP	TNFSF11	0.999999986775796
IBSP	TNFRSF11B	0.999999965615143
IBSP	FGF23	0.986485649523538
IBSP	GLI1	0.994620398019755
TNFSF11	TNFRSF11B	0.999999921045464
TNFSF11	FGF23	0.999998919342405
TNFSF11	GLI1	0.999999998647294
TNFRSF11B	FGF23	0.999997545241203
TNFRSF11B	GLI1	0.999999991069063
FGF23	GLI1	0.998631507760842
