Gene1	Gene2	No	Weight	Significant
PKM2	LDHA	1	0.5647946	Sig-sig
LDHA	ACACB	2	0.5688064	Sig-sig
ALDH2	ACACB	3	0.5688495	Sig-sig
PKM2	ACACB	4	0.5705334	Sig-sig
ALDH1B1	ACACB	5	0.5844641	Sig-sig
MDH1	LDHB	6	0.5895855	Sig-sig
LDHA	ALDH2	7	0.5942033	Sig-sig
PKM2	MDH2	8	0.5947019	Sig-sig
LDHC	ACACB	9	0.5958657	Sig-sig
MDH1	ALDH7A1	10	0.5969288	Sig-sig
MDH2	DLAT	11	0.5969659	Sig-sig
MDH1	DLD	12	0.5974688	Sig-non
LDHA	ALDH1B1	13	0.5993636	Sig-sig
MDH1	DLAT	14	0.5994281	Sig-sig
MDH2	LDHB	15	0.6003404	Sig-sig
LDHA	LDHC	16	0.6013982	Sig-sig
MDH2	LDHA	17	0.6030682	Sig-sig
MDH1	MDH2	18	0.6033668	Sig-sig
ALDH2	ALDH1B1	19	0.6037963	Sig-sig
PKM2	ALDH2	20	0.6040061	Sig-sig
GLO1	DLD	21	0.6074367	Sig-non
PDHB	DLD	22	0.6092675	Non-non
MDH1	ACYP1	23	0.6103312	Sig-sig
ACACB	ACYP2	24	0.6121428	Sig-sig
PDHA1	MDH1	25	0.6124791	Sig-non
GLO1	MDH1	26	0.6138037	Sig-sig
MDH2	ALDH7A1	27	0.6143703	Sig-sig
MDH2	LDHC	28	0.6144866	Sig-sig
ME2	MDH1	29	0.618612	Sig-sig
ALDH7A1	DLD	30	0.6208278	Sig-non
ALDH3A2	ACACB	31	0.6211723	Sig-sig
ALDH2	ALDH3A2	32	0.6225767	Sig-sig
LDHC	ALDH2	33	0.6236658	Sig-sig
LDHA	DLAT	34	0.6239602	Sig-sig
ME2	MDH2	35	0.6258815	Sig-sig
ACAT2	DLD	36	0.6277971	Sig-non
PDHA1	MDH2	37	0.6282572	Sig-non
MDH2	ALDH1B1	38	0.6293591	Sig-sig
ALDH2	ACYP2	39	0.6296504	Sig-sig
ALDH2	ALDH1A3	40	0.6296726	Sig-sig
ME2	DLD	41	0.6332824	Sig-non
LDHB	DLD	42	0.6336031	Sig-non
DLAT	DLD	43	0.6337758	Sig-non
MDH2	ACYP1	44	0.6343025	Sig-sig
ALDH1A3	ACACB	45	0.6344433	Sig-sig
PDHB	MDH1	46	0.6351642	Sig-non
PDHA2	PKLR	47	0.6352556	Non-non
MDH2	ACACB	48	0.6365473	Sig-sig
LDHA	ALDH1A3	49	0.6408934	Sig-sig
PKM2	ALDH1B1	50	0.643709	Sig-sig
MDH1	ACAT2	51	0.6453353	Sig-sig
ALDH2	ACAT1	52	0.6454941	Sig-sig
PKM2	LDHC	53	0.6456825	Sig-sig
MDH2	DLD	54	0.6459941	Sig-non
PDHA1	ACYP1	55	0.6488135	Sig-non
LDHA	LDHB	56	0.6497302	Sig-sig
PKM2	MDH1	57	0.6505325	Sig-sig
ACACB	DLAT	58	0.650945	Sig-sig
ACAT1	ACACB	59	0.651921	Sig-sig
ALDH2	ALDH9A1	60	0.6535762	Sig-sig
PDHA1	DLD	61	0.6537546	Non-non
PKLR	PC	62	0.6539529	Sig-non
PDHA1	ALDH7A1	63	0.6542549	Sig-non
LDHA	ACYP2	64	0.6542602	Sig-sig
PDHA2	DLD	65	0.6550786	Non-non
MDH1	LDHC	66	0.6555783	Sig-sig
LDHB	DLAT	67	0.6556759	Sig-sig
ALDH9A1	ACACB	68	0.6561488	Sig-sig
MDH1	LDHA	69	0.6562097	Sig-sig
MDH2	ALDH2	70	0.6567689	Sig-sig
ME2	DLAT	71	0.6580378	Sig-sig
LDHA	ALDH3A2	72	0.6591297	Sig-sig
PDHB	PKLR	73	0.6591327	Non-non
HAGH	ALDH2	74	0.6599172	Sig-sig
LDHB	ALDH7A1	75	0.6608874	Sig-sig
ALDH7A1	DLAT	76	0.662824	Sig-sig
PKLR	ACAT2	77	0.6638592	Sig-non
PKM2	DLAT	78	0.6656484	Sig-sig
HAGH	ACACB	79	0.6656966	Sig-sig
GLO1	MDH2	80	0.6658847	Sig-sig
PKLR	DLD	81	0.666928	Non-non
ACACA	DLD	82	0.6670584	Non-non
ME2	LDHA	83	0.6673421	Sig-sig
ALDH9A1	ACAT1	84	0.6676269	Sig-sig
ME1	MDH1	85	0.6682117	Sig-non
LDHA	ALDH7A1	86	0.6688538	Sig-sig
PDHA1	LDHB	87	0.669369	Sig-non
DLD	ACYP1	88	0.6721449	Sig-non
MDH1	ALDH1B1	89	0.6729328	Sig-sig
PDHA1	LDHA	90	0.6730239	Sig-non
LDHC	ALDH1B1	91	0.6736171	Sig-sig
LDHA	ACYP1	92	0.6740466	Sig-sig
PKLR	LDHAL6B	93	0.6749733	Sig-non
PDHA2	MDH1	94	0.6757108	Sig-non
HAGH	ACAT1	95	0.6757113	Sig-sig
ACAT2	ACACA	96	0.6761666	Sig-non
