Gene1	Gene2	No	Weight	Significant
DUSP1	FOS	1	0.7090297	Sig-sig
PLA2G1B	CACNA2D2	2	0.8034233	Sig-sig
CACNB1	ELK1	3	0.8319017	Sig-non
RASGRF1	CACNA2D2	4	0.8344103	Sig-non
ELK1	RPS6KA6	5	0.8423047	Sig-sig
TRAF2	MAP2K7	6	0.8748194	Sig-sig
CACNA1I	TRAF2	7	0.8790258	Sig-non
HSPA1L	RPS6KA6	8	0.8805034	Sig-sig
CACNB4	ELK1	9	0.8848953	Sig-sig
RASGRP2	CACNA1I	10	0.8859291	Sig-non
BRAF	ELK1	11	0.8898092	Sig-non
RASGRF1	PLA2G1B	12	0.890988	Sig-non
NR4A1	GADD45B	13	0.8926706	Sig-sig
CACNA1F	ELK1	14	0.8954262	Sig-non
PLA2G2F	CACNB1	15	0.8960225	Non-non
DUSP1	GADD45B	16	0.900404	Sig-sig
PLA2G2F	ELK1	17	0.9011117	Sig-non
FGFR4	AKT3	18	0.9016495	Sig-sig
JUN	FOS	19	0.9049674	Sig-sig
DUSP1	JUN	20	0.9066672	Sig-sig
CACNB1	RPS6KA6	21	0.9084624	Sig-non
RASGRP2	MAP2K7	22	0.9088836	Sig-sig
PLA2G3	RPS6KA6	23	0.9101787	Sig-sig
CACNA1I	MAP2K7	24	0.9119311	Sig-non
TAOK2	MAP2K7	25	0.915227	Sig-sig
PLA2G1B	FGFR4	26	0.9155928	Sig-sig
CACNA1F	CACNB1	27	0.9161156	Non-non
DUSP1	NR4A1	28	0.9169898	Sig-sig
BRAF	RPS6KA6	29	0.9179653	Sig-non
FGFR4	CACNA2D2	30	0.9194539	Sig-sig
PLA2G3	HSPA1L	31	0.9196651	Sig-sig
NR4A1	FOS	32	0.9206681	Sig-sig
ELK1	HSPA1L	33	0.9212446	Sig-sig
CACNB4	RPS6KA6	34	0.9220138	Sig-sig
CACNA1E	PPP3CC	35	0.9247032	Sig-non
GADD45B	FOS	36	0.925592	Sig-sig
GADD45B	MAP3K8	37	0.9256585	Sig-sig
PRKACG	MAP2K7	38	0.9271701	Sig-non
MAPT	ELK1	39	0.9271895	Sig-sig
RASGRP2	TRAF2	40	0.927799	Sig-sig
CACNA1F	RPS6KA6	41	0.9280473	Sig-non
RRAS	FGFR4	42	0.9297723	Sig-sig
MAPT	CACNB4	43	0.9312388	Sig-sig
CACNB1	CACNB4	44	0.931368	Sig-non
PLA2G3	CACNB4	45	0.9321608	Sig-sig
CACNA1F	CACNB4	46	0.9327158	Sig-non
TRAF2	MAPK8IP2	47	0.9332032	Sig-sig
PRKCG	PPP3CC	48	0.9338269	Sig-non
RASGRP2	TAOK2	49	0.9360272	Sig-sig
CACNB4	MAP2K5	50	0.9372091	Sig-sig
CACNB4	HSPA1L	51	0.9380956	Sig-sig
CACNB1	FGF23	52	0.9383136	Non-non
MAPT	CACNA1F	53	0.9388391	Sig-non
CACNA1I	MAPK8IP2	54	0.9404732	Sig-non
PLA2G1B	RRAS	55	0.9437264	Sig-sig
FGFR4	FGF2	56	0.9437402	Sig-sig
PLA2G3	ELK1	57	0.9440682	Sig-sig
TAOK2	MAP4K2	58	0.9449578	Sig-non
CACNA1A	CACNA2D1	59	0.9453838	Non-non
CACNB1	FGF16	60	0.9458584	Non-non
HSPA1A	HSPA1B	61	0.9458659	Sig-non
MAPT	RPS6KA6	62	0.9463595	Sig-sig
FGF2	AKT3	63	0.9464108	Sig-sig
NRAS	PAK2	64	0.9466159	Sig-sig
CACNG2	CACNA1E	65	0.9473368	Non-non
CHUK	MAP4K3	66	0.9476758	Non-non
TAOK2	TRAF2	67	0.9478775	Sig-sig
PLA2G1B	FGF2	68	0.9482642	Sig-sig
RRAS	MAP3K11	69	0.948488	Sig-sig
BRAF	CACNB4	70	0.9485348	Sig-non
FGF23	FGF16	71	0.9486137	Non-non
MAPT	MAP3K12	72	0.9490502	Sig-sig
PLA2G2F	CACNB4	73	0.9498621	Sig-non
CACNG2	FGF6	74	0.9505571	Sig-non
CACNB1	TGFB2	75	0.9506191	Non-non
NF1	NRAS	76	0.9515822	Sig-sig
CACNB1	HSPA1L	77	0.9520466	Sig-non
CACNA1I	TAOK2	78	0.9521487	Sig-non
PLA2G12A	NRAS	79	0.9523875	Sig-sig
FGF23	ELK1	80	0.9524529	Sig-non
RASGRF1	FGFR4	81	0.9527007	Sig-non
MAPK8IP2	MAP2K7	82	0.9528168	Sig-sig
PLA2G2F	CACNA1F	83	0.9529348	Non-non
ELK1	TGFB2	84	0.9529723	Sig-non
BRAF	CACNB1	85	0.9532179	Non-non
PRKCG	CACNA1E	86	0.9534368	Non-non
FGFR4	PDGFB	87	0.9534727	Sig-sig
MAP2K5	ELK1	88	0.9540823	Sig-sig
PLA2G2F	RPS6KA6	89	0.9541937	Sig-non
PRKACG	TRAF2	90	0.9543941	Sig-non
FGF16	ELK1	91	0.9546176	Sig-non
MAPT	HSPA1L	92	0.9548045	Sig-sig
CACNA1F	CACNG1	93	0.9549035	Non-non
FGF21	FGF16	94	0.9549492	Non-non
RRAS	CACNA2D2	95	0.9549857	Sig-sig
CACNA1F	MAPK8	96	0.9559619	Non-non
TGFB1	FLNA	97	0.9562375	Sig-non
MEF2C	AKT3	98	0.9565341	Sig-sig
ARRB2	RPS6KA1	99	0.9571135	Sig-sig
CHUK	PPP3CC	100	0.9573183	Sig-non
PRKACG	CACNA1G	101	0.9574513	Sig-non
CACNA2D2	RPS6KA2	102	0.9574973	Sig-sig
CACNA1F	MAP3K12	103	0.9578447	Sig-non
MAP2K7	PPP3CC	104	0.9586373	Sig-sig
CACNB1	MAPK8	105	0.9593203	Non-non
CACNA1F	HSPA1L	106	0.9595564	Sig-non
CACNG2	FGF21	107	0.9601028	Non-non
RRAS	PDGFB	108	0.9609166	Sig-sig
CACNG2	FGF16	109	0.9616665	Non-non
RASGRP2	PPP3CC	110	0.9617412	Sig-sig
CACNA1E	CACNG1	111	0.9627279	Non-non
FGFR4	PAK1	112	0.9627388	Sig-sig
MAPK1	MAP2K1IP1	113	0.9628918	Sig-sig
CACNA2D2	FGF2	114	0.963053	Sig-sig
ELK1	MAP3K12	115	0.9631213	Sig-sig
DUSP6	IL1R1	116	0.9631802	Sig-sig
CACNA1G	PPP3CC	117	0.9633937	Sig-sig
PLA2G3	MAPT	118	0.9635277	Sig-sig
PLA2G3	CACNA1F	119	0.9636266	Sig-non
PLA2G1B	AKT3	120	0.9638178	Sig-sig
CACNB4	FGF16	121	0.9639659	Sig-non
PRKCG	CACNG2	122	0.9644562	Non-non
CACNA1I	PPP3CC	123	0.9645067	Sig-non
RRAS	FGF2	124	0.9645799	Sig-sig
CACNG2	MAPK8	125	0.9647394	Non-non
CACNA1E	MAP2K7	126	0.9648656	Sig-non
MAPK1	RRAS2	127	0.9650001	Sig-sig
IL1R1	RPS6KA2	128	0.9651604	Sig-sig
PLA2G2F	FGF16	129	0.9652203	Non-non
PLA2G3	CACNB1	130	0.965468	Sig-non
ELK1	MAPK8	131	0.9656821	Sig-non
BRAF	CACNA1F	132	0.9656973	Non-non
PPM1B	FGF21	133	0.9659915	Non-non
TRAF2	MAPK8IP1	134	0.9660777	Sig-non
PLA2G1B	RPS6KA2	135	0.9661899	Sig-sig
MOS	FGF8	136	0.9663804	Non-non
MAPT	CACNB1	137	0.9664392	Sig-non
CACNA1G	STK4	138	0.9666806	Sig-sig
RASGRP2	MAP4K1	139	0.9667002	Sig-non
CACNB4	MAP3K12	140	0.9667711	Sig-sig
CACNB1	FGF6	141	0.9670259	Sig-non
PLA2G2F	FGF6	142	0.9672609	Sig-non
PRKACG	RASGRP2	143	0.9675165	Sig-non
CACNA1G	MAP2K7	144	0.9677024	Sig-sig
MAPK8IP1	MAP2K7	145	0.9678751	Sig-non
PLA2G6	CACNA1F	146	0.967983	Non-non
CACNA2D2	CASP3	147	0.9681199	Sig-sig
BRAF	HSPA1L	148	0.9681625	Sig-non
CACNA1F	FGF16	149	0.9682262	Non-non
PPP3CC	MAP4K3	150	0.9682633	Sig-non
CACNA1F	FGF6	151	0.968282	Sig-non
MRAS	CACNA1E	152	0.9682845	Non-non
NF1	PAK2	153	0.9687587	Sig-sig
MAPT	FGF17	154	0.9688924	Sig-non
NR4A1	MAP3K8	155	0.9689543	Sig-sig
MAP3K12	HSPA1L	156	0.9690176	Sig-sig
CACNA1G	MAPK8IP2	157	0.969627	Sig-sig
FASLG	CACNG2	158	0.9700255	Sig-non
MAPK11	TAOK2	159	0.970072	Sig-sig
FGF6	ELK1	160	0.9702757	Sig-sig
RASGRF1	RRAS	161	0.9705107	Sig-non
PLA2G5	CACNG2	162	0.9705132	Non-non
CACNG2	CACNB1	163	0.9707766	Non-non
NTRK1	PPP3CC	164	0.9707838	Sig-non
CACNA1E	FGF6	165	0.9709927	Sig-non
PPM1B	CACNA1E	166	0.9710687	Non-non
TAOK2	PPP3CC	167	0.9711042	Sig-sig
RASGRP2	MAPK8IP2	168	0.9713218	Sig-sig
PLA2G2F	CACNG2	169	0.9715152	Non-non
MOS	PRKCG	170	0.9717987	Non-non
NTRK1	CACNG1	171	0.9718516	Non-non
PDGFRA	IL1R1	172	0.9718894	Sig-sig
MAPK1	CRKL	173	0.9721329	Sig-non
PTPN7	MAP4K1	174	0.9722826	Sig-non
CACNA1I	MAPK8IP1	175	0.972583	Non-non
PLA2G2F	MAPT	176	0.9725984	Sig-non
CACNA1E	FGF21	177	0.9727307	Non-non
CACNB4	MAPK8	178	0.9727389	Sig-non
PRKACG	TAOK2	179	0.9728601	Sig-non
CACNA2D2	PAK1	180	0.9728602	Sig-sig
RASGRP2	MAPK11	181	0.9728666	Sig-sig
GADD45B	JUN	182	0.9728732	Sig-sig
MAP3K3	ARRB2	183	0.9729485	Sig-sig
CACNB1	MAP3K12	184	0.9730303	Sig-non
FGF6	FGF16	185	0.9730648	Sig-non
PLA2G2F	TGFB2	186	0.9731148	Non-non
CACNB4	PPM1A	187	0.9731194	Sig-sig
CACNG1	PPP3CC	188	0.9731664	Sig-non
MAPK3	TAOK2	189	0.9731817	Sig-sig
PLA2G1B	BDNF	190	0.9734391	Sig-sig
CACNB4	TGFB2	191	0.9734716	Sig-non
CACNG2	CACNA1F	192	0.9736461	Non-non
FGF21	MAPK8	193	0.9737342	Non-non
FGFR2	CACNA2D2	194	0.9737935	Sig-sig
MAP3K12	MAPKAPK5	195	0.9738148	Sig-sig
MAPK8	RPS6KA6	196	0.9738643	Sig-non
FGFR4	BDNF	197	0.9740117	Sig-sig
PRKACG	CACNA1I	198	0.9740506	Non-non
NTRK1	CACNA1E	199	0.9740845	Non-non
CACNA1E	CACNA1G	200	0.9741931	Sig-non
RRAS	AKT3	201	0.9742304	Sig-sig
CACNG2	PPP3CC	202	0.974263	Sig-non
NRAS	CACNA2D2	203	0.974336	Sig-sig
PLA2G2F	HSPA1L	204	0.974413	Sig-non
CACNA1G	TRAF2	205	0.9744472	Sig-sig
CACNG1	FGF6	206	0.9745611	Sig-non
MAPK11	MAP3K3	207	0.9747048	Sig-sig
CACNG1	FGF17	208	0.9749273	Non-non
FGFR2	MAP3K4	209	0.9749659	Sig-sig
PLA2G3	CACNG3	210	0.9749852	Sig-sig
CACNA2D2	AKT3	211	0.9750231	Sig-sig
AKT3	PAK1	212	0.9750626	Sig-sig
CACNA1E	FGF16	213	0.9750953	Non-non
TRAF2	PPP3CC	214	0.9752324	Sig-sig
MAPK8IP2	PPP3CC	215	0.9754604	Sig-sig
CACNG2	ELK1	216	0.9755096	Sig-non
CHUK	TAOK2	217	0.9755816	Sig-non
MAPT	CACNG1	218	0.9756457	Sig-non
PRKACG	MAPK8IP2	219	0.9757238	Sig-non
CACNB4	FGF23	220	0.9758503	Sig-non
PRKCG	CACNA1I	221	0.9759325	Non-non
FASLG	FGF21	222	0.9760326	Sig-non
PPM1B	CACNG2	223	0.976048	Non-non
RASGRP2	CACNA1G	224	0.976202	Sig-sig
MAP3K6	MAP3K3	225	0.9762911	Sig-sig
MOS	CACNA1E	226	0.9763067	Non-non
CACNA1E	TAOK2	227	0.9763335	Sig-non
MRAS	CACNB4	228	0.9764065	Sig-non
CACNB1	FGF21	229	0.9765057	Non-non
MAPT	CACNG3	230	0.9765951	Sig-sig
PPM1B	MAP4K3	231	0.9766322	Non-non
ATF2	MAP4K3	232	0.9766379	Sig-non
PPP3CA	MAP4K3	233	0.9766771	Non-non
MAPK8	CRKL	234	0.9767493	Non-non
FGF21	CRKL	235	0.9767744	Non-non
MAP2K5	RPS6KA6	236	0.976849	Sig-sig
CACNA1F	FGF23	237	0.9769207	Non-non
CACNB1	MAP2K5	238	0.9769852	Sig-non
RPS6KA2	MKNK2	239	0.977049	Sig-sig
FGF6	FGF21	240	0.9770597	Sig-non
PLA2G5	CACNB1	241	0.9772122	Non-non
PLA2G2F	MAP2K5	242	0.977242	Sig-non
PLA2G3	MAP3K12	243	0.9774911	Sig-sig
MAPT	CACNG2	244	0.9775087	Sig-non
CHUK	CACNA1E	245	0.9776741	Non-non
CHUK	MAP2K7	246	0.9777034	Sig-non
PLA2G5	PLA2G2F	247	0.9777076	Non-non
DUSP1	MAP3K8	248	0.9777375	Sig-sig
FGF21	PPP3CC	249	0.977864	Sig-non
MAPK8IP2	MAPK8IP1	250	0.977924	Sig-non
MAP2K1IP1	RRAS2	251	0.9779449	Sig-sig
CHUK	FGF21	252	0.9780315	Non-non
FGFR4	RPS6KA2	253	0.9780368	Sig-sig
CACNG1	MAP3K12	254	0.9780782	Sig-non
MRAS	CACNG1	255	0.9781135	Non-non
MAP2K1IP1	MAP4K3	256	0.9781255	Sig-non
TAOK2	MAPK8IP2	257	0.9783441	Sig-sig
NR4A1	JUN	258	0.9784034	Sig-sig
MAP2K7	PPP3CA	259	0.9785396	Sig-non
PPM1A	RPS6KA6	260	0.9785775	Sig-sig
CACNG2	CACNG1	261	0.9785853	Non-non
PLA2G1B	PAK1	262	0.9785935	Sig-sig
PLA2G2F	MAP3K12	263	0.9786174	Sig-non
FGF16	CRKL	264	0.9786292	Non-non
MAPT	BRAF	265	0.9787702	Sig-non
MAP3K12	RPS6KA6	266	0.9788085	Sig-sig
CACNG3	RPS6KA6	267	0.9788241	Sig-sig
MAP2K1IP1	MAP2K1	268	0.9788928	Sig-non
CACNG2	CRKL	269	0.978897	Non-non
PRKCB1	AKT3	270	0.9789339	Sig-sig
NRAS	MAPKAPK5	271	0.9790279	Sig-sig
CHUK	CACNA1H	272	0.9790392	Non-non
MAPK14	HSPA8	273	0.979121	Sig-sig
CACNG1	ELK1	274	0.9791683	Sig-non
MEF2C	RPS6KA2	275	0.9792481	Sig-sig
RRAS	RPS6KA2	276	0.9792995	Sig-sig
AKT3	RPS6KA2	277	0.9795359	Sig-sig
TAOK1	MAP2K7	278	0.9796381	Sig-sig
PRKACG	PPP3CC	279	0.9796567	Sig-non
PPM1B	CHUK	280	0.9797415	Non-non
MAPK1	MAPK13	281	0.9798263	Sig-sig
CACNG3	CACNA1F	282	0.9798433	Sig-non
