"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"Net_86"	"Net_86"	"1"	"0.999993289169943"	"Non-non"
"MDH1"	"MDH2"	"2"	"0.999994138043068"	"Sig-non"
"MDH1"	"FH"	"3"	"0.999996306246585"	"Sig-non"
"MDH1"	"IDH1"	"4"	"0.999998654311427"	"Sig-non"
"MDH1"	"IDH2"	"5"	"0.999998999669828"	"Sig-non"
"MDH1"	"ACO1"	"6"	"0.999999408699934"	"Non-non"
"MDH1"	"ACO2"	"7"	"0.999999517264591"	"Non-non"
"MDH1"	"ACLY"	"8"	"0.999999957452999"	"Sig-non"
"MDH2"	"FH"	"9"	"0.999999986340155"	"Sig-sig"
"MDH2"	"IDH1"	"10"	"0.99999999447988"	"Sig-sig"
"MDH2"	"IDH2"	"11"	"0.999999994502824"	"Sig-sig"
"MDH2"	"ACO1"	"12"	"0.999999995414471"	"Sig-non"
"MDH2"	"ACO2"	"13"	"0.999999996344974"	"Sig-non"
"MDH2"	"ACLY"	"14"	"0.999999999636144"	"Sig-sig"
"FH"	"IDH1"	"15"	"0.999999999905042"	"Sig-sig"
"FH"	"IDH2"	"16"	"0.999999999967459"	"Sig-sig"
"FH"	"ACO1"	"17"	"0.999999999999791"	"Sig-non"
"FH"	"ACO2"	"18"	"0.999999999999869"	"Sig-non"
"FH"	"ACLY"	"19"	"0.999999999999998"	"Sig-sig"
"IDH1"	"IDH2"	"20"	"1"	"Sig-sig"
"IDH1"	"ACO1"	"21"	"1"	"Sig-non"
"IDH1"	"ACO2"	"22"	"1"	"Sig-non"
"IDH1"	"ACLY"	"23"	"1"	"Sig-sig"
"IDH2"	"ACO1"	"24"	"1"	"Sig-non"
"IDH2"	"ACO2"	"25"	"1"	"Sig-non"
"IDH2"	"ACLY"	"26"	"1"	"Sig-sig"
"ACO1"	"ACO2"	"27"	"1"	"Non-non"
"ACO1"	"ACLY"	"28"	"1"	"Sig-non"
"ACO2"	"ACLY"	"29"	"Net_86"	"Sig-non"
